X,Y,Z,ENERGY VALUE
0,0,76,182602.59276000859
0,0,77,177316.62122673308
0,0,78,-1.0
0,0,79,-1.0
0,0,80,-1.0
0,0,81,-1.0
0,0,82,-1.0
0,0,83,-1.0
0,0,84,-1.0
0,0,85,-1.0
0,0,86,-1.0
0,0,87,-1.0
0,0,88,-1.0
0,0,89,-1.0
0,0,90,-1.0
0,0,91,-1.0
0,0,92,-1.0
0,0,93,-1.0
0,0,94,-1.0
0,0,95,-1.0
0,1,76,180309.62140047658
0,1,77,171686.6680670353
0,1,78,-1.0
0,1,79,-1.0
0,1,80,-1.0
0,1,81,-1.0
0,1,82,-1.0
0,1,83,-1.0
0,1,84,-1.0
0,1,85,-1.0
0,1,86,-1.0
0,1,87,-1.0
0,1,88,-1.0
0,1,89,-1.0
0,1,90,-1.0
0,1,91,-1.0
0,1,92,-1.0
0,1,93,-1.0
0,1,94,-1.0
0,1,95,-1.0
0,2,76,181132.01245143948
0,2,77,168801.87778683673
0,2,78,-1.0
0,2,79,-1.0
0,2,80,-1.0
0,2,81,-1.0
0,2,82,-1.0
0,2,83,-1.0
0,2,84,-1.0
0,2,85,-1.0
0,2,86,-1.0
0,2,87,-1.0
0,2,88,-1.0
0,2,89,-1.0
0,2,90,-1.0
0,2,91,-1.0
0,2,92,-1.0
0,2,93,-1.0
0,2,94,-1.0
0,2,95,-1.0
0,3,76,179943.60034745006
0,3,77,171237.1949428703
0,3,78,-1.0
0,3,79,-1.0
0,3,80,-1.0
0,3,81,-1.0
0,3,82,-1.0
0,3,83,-1.0
0,3,84,-1.0
0,3,85,-1.0
0,3,86,-1.0
0,3,87,-1.0
0,3,88,-1.0
0,3,89,-1.0
0,3,90,-1.0
0,3,91,-1.0
0,3,92,-1.0
0,3,93,-1.0
0,3,94,-1.0
0,3,95,-1.0
0,4,76,180003.7069515215
0,4,77,166847.1401544251
0,4,78,-1.0
0,4,79,-1.0
0,4,80,-1.0
0,4,81,-1.0
0,4,82,-1.0
0,4,83,-1.0
0,4,84,-1.0
0,4,85,-1.0
0,4,86,-1.0
0,4,87,-1.0
0,4,88,-1.0
0,4,89,-1.0
0,4,90,-1.0
0,4,91,-1.0
0,4,92,-1.0
0,4,93,-1.0
0,4,94,-1.0
0,4,95,-1.0
0,5,76,178809.7205275021
0,5,77,168895.9667653743
0,5,78,-1.0
0,5,79,-1.0
0,5,80,-1.0
0,5,81,-1.0
0,5,82,-1.0
0,5,83,-1.0
0,5,84,-1.0
0,5,85,-1.0
0,5,86,-1.0
0,5,87,-1.0
0,5,88,-1.0
0,5,89,-1.0
0,5,90,-1.0
0,5,91,-1.0
0,5,92,-1.0
0,5,93,-1.0
0,5,94,-1.0
0,5,95,-1.0
0,6,76,180372.19848257455
0,6,77,171972.3394881176
0,6,78,-1.0
0,6,79,-1.0
0,6,80,-1.0
0,6,81,-1.0
0,6,82,-1.0
0,6,83,-1.0
0,6,84,-1.0
0,6,85,-1.0
0,6,86,-1.0
0,6,87,-1.0
0,6,88,-1.0
0,6,89,-1.0
0,6,90,-1.0
0,6,91,-1.0
0,6,92,-1.0
0,6,93,-1.0
0,6,94,-1.0
0,6,95,-1.0
0,7,76,180512.88273080584
0,7,77,169906.81579752016
0,7,78,-1.0
0,7,79,-1.0
0,7,80,-1.0
0,7,81,-1.0
0,7,82,-1.0
0,7,83,-1.0
0,7,84,-1.0
0,7,85,-1.0
0,7,86,-1.0
0,7,87,-1.0
0,7,88,-1.0
0,7,89,-1.0
0,7,90,-1.0
0,7,91,-1.0
0,7,92,-1.0
0,7,93,-1.0
0,7,94,-1.0
0,7,95,-1.0
0,8,76,188352.45759812198
0,8,77,170836.0415485858
0,8,78,-1.0
0,8,79,-1.0
0,8,80,-1.0
0,8,81,-1.0
0,8,82,-1.0
0,8,83,-1.0
0,8,84,-1.0
0,8,85,-1.0
0,8,86,-1.0
0,8,87,-1.0
0,8,88,-1.0
0,8,89,-1.0
0,8,90,-1.0
0,8,91,-1.0
0,8,92,-1.0
0,8,93,-1.0
0,8,94,-1.0
0,8,95,-1.0
0,9,76,177065.95992214786
0,9,77,166575.8101212038
0,9,78,-1.0
0,9,79,-1.0
0,9,80,-1.0
0,9,81,-1.0
0,9,82,-1.0
0,9,83,-1.0
0,9,84,-1.0
0,9,85,-1.0
0,9,86,-1.0
0,9,87,-1.0
0,9,88,-1.0
0,9,89,-1.0
0,9,90,-1.0
0,9,91,-1.0
0,9,92,-1.0
0,9,93,-1.0
0,9,94,-1.0
0,9,95,-1.0
0,10,76,181460.05174327738
0,10,77,171563.53725517448
0,10,78,-1.0
0,10,79,-1.0
0,10,80,-1.0
0,10,81,-1.0
0,10,82,-1.0
0,10,83,-1.0
0,10,84,-1.0
0,10,85,-1.0
0,10,86,-1.0
0,10,87,-1.0
0,10,88,-1.0
0,10,89,-1.0
0,10,90,-1.0
0,10,91,-1.0
0,10,92,-1.0
0,10,93,-1.0
0,10,94,-1.0
0,10,95,-1.0
0,11,76,178755.51610007262
0,11,77,175870.70506931955
0,11,78,-1.0
0,11,79,-1.0
0,11,80,-1.0
0,11,81,-1.0
0,11,82,-1.0
0,11,83,-1.0
0,11,84,-1.0
0,11,85,-1.0
0,11,86,-1.0
0,11,87,-1.0
0,11,88,-1.0
0,11,89,-1.0
0,11,90,-1.0
0,11,91,-1.0
0,11,92,-1.0
0,11,93,-1.0
0,11,94,-1.0
0,11,95,-1.0
